"ee.Taxon","Definition.x","Definition.y","N"
"human","Parkinson's disease","dorsal telencephalic commissure",1
"human","Parkinson's disease","ventral striatum",1
"human","Parkinson's disease","brain commissure",1
"human","Parkinson's disease","diencephalic nucleus",1
"human","Parkinson's disease","superior vestibular nucleus",1
"human","Parkinson's disease","vestibular nucleus",1
"human","Parkinson's disease","nucleus of thalamus",1
"human","Parkinson's disease","tract of brain",1
"human","Parkinson's disease","thalamic complex",1
"human","Parkinson's disease","white matter of telencephalon",1
"human","Parkinson's disease","nucleus of dorsal thalamus",1
"human","Parkinson's disease","nucleus of ventral thalamus",1
"human","Parkinson's disease","white matter of forebrain",1
"human","Parkinson's disease","gray matter of diencephalon",1
"human","Parkinson's disease","commissure of telencephalon",1
"human","central nervous system disease","pituitary gland",1
"human","central nervous system disease","amygdala",1
"human","central nervous system disease","nucleus accumbens",1
"human","central nervous system disease","ventral thalamus",1
"human","central nervous system disease","subthalamic nucleus",1
"human","central nervous system disease","corpus callosum",1
"human","central nervous system disease","cerebral hemisphere white matter",1
"human","central nervous system disease","intercerebral commissure",1
"human","central nervous system disease","lateral globus pallidus",1
"human","central nervous system disease","vestibular nuclear complex",1
"human","central nervous system disease","ventral tegmental area",1
"human","central nervous system disease","lateral nuclear group of thalamus",1
"human","central nervous system disease","ventral nuclear group",1
"human","central nervous system disease","gland of diencephalon",1
"human","central nervous system disease","dorsal thalamus",1
"human","central nervous system disease","cerebellar vermis",1
"human","central nervous system disease","dorsal telencephalic commissure",1
"human","central nervous system disease","ventral striatum",1
"human","central nervous system disease","brain commissure",1
"human","central nervous system disease","diencephalic nucleus",1
"human","central nervous system disease","superior vestibular nucleus",1
"human","central nervous system disease","vestibular nucleus",1
"human","central nervous system disease","nucleus of thalamus",1
"human","central nervous system disease","white matter of telencephalon",1
"human","central nervous system disease","nucleus of dorsal thalamus",1
"human","central nervous system disease","nucleus of ventral thalamus",1
"human","central nervous system disease","commissure of telencephalon",1
"human","nervous system disease","nucleus accumbens",1
"human","nervous system disease","ventral thalamus",1
"human","nervous system disease","subthalamic nucleus",1
"human","nervous system disease","lateral globus pallidus",1
"human","nervous system disease","vestibular nuclear complex",1
"human","nervous system disease","ventral tegmental area",1
"human","nervous system disease","lateral nuclear group of thalamus",1
"human","nervous system disease","ventral nuclear group",1
"human","nervous system disease","dorsal thalamus",1
"human","nervous system disease","cerebellar vermis",1
"human","nervous system disease","ventral striatum",1
"human","nervous system disease","diencephalic nucleus",1
"human","nervous system disease","superior vestibular nucleus",1
"human","nervous system disease","vestibular nucleus",1
"human","nervous system disease","nucleus of thalamus",1
"human","nervous system disease","nucleus of dorsal thalamus",1
"human","nervous system disease","nucleus of ventral thalamus",1
"human","synucleinopathy","superior frontal gyrus",1
"human","Parkinson's disease","superior frontal gyrus",1
"human","Alzheimer's disease","prefrontal cortex",1
"human","tauopathy","prefrontal cortex",1
"human","frontotemporal dementia","limbic system",1
"human","frontotemporal dementia","metencephalon",1
"human","frontotemporal dementia","Ammon's horn",1
"human","frontotemporal dementia","hindbrain",1
"human","frontotemporal dementia","cerebellum",1
"human","frontotemporal dementia","hippocampal formation",1
"human","frontotemporal dementia","limbic lobe",1
"human","frontotemporal dementia","segmental subdivision of hindbrain",1
"human","frontotemporal dementia","frontal lobe",1
"mouse","Alzheimer's disease","gyrus",1
"mouse","Alzheimer's disease","temporal lobe",1
"mouse","Alzheimer's disease","entorhinal cortex",1
"mouse","Alzheimer's disease","olfactory cortex",1
"mouse","Alzheimer's disease","parahippocampal gyrus",1
"mouse","Alzheimer's disease","piriform cortex",1
"mouse","neurodegenerative disease","gyrus",1
"mouse","neurodegenerative disease","temporal lobe",1
"mouse","neurodegenerative disease","entorhinal cortex",1
"mouse","neurodegenerative disease","olfactory cortex",1
"mouse","neurodegenerative disease","parahippocampal gyrus",1
"mouse","neurodegenerative disease","piriform cortex",1
"mouse","central nervous system disease","temporal lobe",1
"mouse","central nervous system disease","entorhinal cortex",1
"mouse","central nervous system disease","olfactory cortex",1
"mouse","central nervous system disease","parahippocampal gyrus",1
"mouse","central nervous system disease","piriform cortex",1
"mouse","tauopathy","gyrus",1
"mouse","tauopathy","temporal lobe",1
"mouse","tauopathy","entorhinal cortex",1
"mouse","tauopathy","olfactory cortex",1
"mouse","tauopathy","parahippocampal gyrus",1
"mouse","tauopathy","piriform cortex",1
"mouse","nervous system disease","temporal lobe",1
"mouse","nervous system disease","entorhinal cortex",1
"mouse","nervous system disease","olfactory cortex",1
"mouse","nervous system disease","parahippocampal gyrus",1
"mouse","nervous system disease","piriform cortex",1
"rat","epilepsy","gyrus",1
"rat","epilepsy","parietal lobe",1
"rat","epilepsy","postcentral gyrus",1
"rat","epilepsy","somatosensory cortex",1
"rat","epilepsy","primary somatosensory cortex",1
"rat","epilepsy","parietal cortex",1
"rat","epilepsy","functional part of brain",1
"rat","central nervous system disease","gyrus",1
"rat","central nervous system disease","parietal lobe",1
"rat","central nervous system disease","postcentral gyrus",1
"rat","central nervous system disease","somatosensory cortex",1
"rat","central nervous system disease","primary somatosensory cortex",1
"rat","central nervous system disease","parietal cortex",1
"rat","central nervous system disease","functional part of brain",1
"rat","nervous system disease","gyrus",1
"rat","nervous system disease","parietal lobe",1
"rat","nervous system disease","postcentral gyrus",1
"rat","nervous system disease","somatosensory cortex",1
"rat","nervous system disease","primary somatosensory cortex",1
"rat","nervous system disease","parietal cortex",1
"rat","nervous system disease","functional part of brain",1
"rat","brain disease","gyrus",1
"rat","brain disease","parietal lobe",1
"rat","brain disease","postcentral gyrus",1
"rat","brain disease","somatosensory cortex",1
"rat","brain disease","primary somatosensory cortex",1
"rat","brain disease","parietal cortex",1
"rat","brain disease","functional part of brain",1
"mouse","Machado-Joseph disease","brain",1
"human","synucleinopathy","dorsolateral prefrontal cortex",1
"human","synucleinopathy","Brodmann area",1
"human","synucleinopathy","Brodmann (1909) area 9",1
"human","Parkinson's disease","dorsolateral prefrontal cortex",1
"human","Parkinson's disease","Brodmann area",1
"human","Parkinson's disease","Brodmann (1909) area 9",1
"rat","status epilepticus","limbic system",1
"rat","status epilepticus","Ammon's horn",1
"rat","status epilepticus","limbic lobe",1
"rat","status epilepticus","lobe of cerebral hemisphere",1
"human","Pick's disease","brain",1
"human","Pick's disease","cerebral hemisphere",1
"human","Pick's disease","temporal lobe",1
"human","Pick's disease","forebrain",1
"human","Pick's disease","telencephalon",1
"human","Pick's disease","regional part of brain",1
"human","Pick's disease","lobe of cerebral hemisphere",1
"rat","Alzheimer's disease","pallium",1
"rat","Alzheimer's disease","limbic system",1
"rat","Alzheimer's disease","cerebral cortex",1
"rat","Alzheimer's disease","cerebral hemisphere",1
"rat","Alzheimer's disease","forebrain",1
"rat","Alzheimer's disease","telencephalon",1
"rat","Alzheimer's disease","Ammon's horn",1
"rat","Alzheimer's disease","hippocampal formation",1
"rat","Alzheimer's disease","limbic lobe",1
"rat","Alzheimer's disease","brain gray matter",1
"rat","Alzheimer's disease","cerebral hemisphere gray matter",1
"rat","Alzheimer's disease","gray matter of telencephalon",1
"rat","Alzheimer's disease","lobe of cerebral hemisphere",1
"rat","Alzheimer's disease","gray matter of forebrain",1
"rat","neurodegenerative disease","pallium",1
"rat","neurodegenerative disease","limbic system",1
"rat","neurodegenerative disease","cerebral cortex",1
"rat","neurodegenerative disease","cerebral hemisphere",1
"rat","neurodegenerative disease","Ammon's horn",1
"rat","neurodegenerative disease","hippocampal formation",1
"rat","neurodegenerative disease","limbic lobe",1
"rat","neurodegenerative disease","cerebral hemisphere gray matter",1
"rat","neurodegenerative disease","lobe of cerebral hemisphere",1
"rat","tauopathy","pallium",1
"rat","tauopathy","limbic system",1
"rat","tauopathy","cerebral cortex",1
"rat","tauopathy","cerebral hemisphere",1
"rat","tauopathy","forebrain",1
"rat","tauopathy","telencephalon",1
"rat","tauopathy","Ammon's horn",1
"rat","tauopathy","hippocampal formation",1
"rat","tauopathy","limbic lobe",1
"rat","tauopathy","brain gray matter",1
"rat","tauopathy","cerebral hemisphere gray matter",1
"rat","tauopathy","gray matter of telencephalon",1
"rat","tauopathy","lobe of cerebral hemisphere",1
"rat","tauopathy","gray matter of forebrain",1
"mouse","sensory system disease","neuronal receptor cell",1
"mouse","sensory system disease","sensory neuron",1
"mouse","sensory system disease","photoreceptor cell",1
"mouse","sensory system disease","eye photoreceptor cell",1
"mouse","sensory system disease","afferent neuron",1
"mouse","sensory system disease","retinal cone cell",1
"mouse","sensory system disease","camera-type eye photoreceptor cell",1
"mouse","eye and adnexa disease","neuronal receptor cell",1
"mouse","eye and adnexa disease","sensory neuron",1
"mouse","eye and adnexa disease","photoreceptor cell",1
"mouse","eye and adnexa disease","eye photoreceptor cell",1
"mouse","eye and adnexa disease","afferent neuron",1
"mouse","eye and adnexa disease","retinal cone cell",1
"mouse","eye and adnexa disease","camera-type eye photoreceptor cell",1
"mouse","eye disease","neuronal receptor cell",1
"mouse","eye disease","sensory neuron",1
"mouse","eye disease","photoreceptor cell",1
"mouse","eye disease","eye photoreceptor cell",1
"mouse","eye disease","afferent neuron",1
"mouse","eye disease","retinal cone cell",1
